UID,prize,url,description,winningTicket,competitionId,winningWalletAddress,priority
0011490ca720fac31e3564646970e6bd,2 TICKETS,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-21.png,"1000 winners will score $2 Site Credit each. It is a quick shot to get you back in the action, ready to make your next move. Start small, think big.",95863,043d138d488119377814c159a71ab92b,,29
001bf7a933ea2ebc89bd689b0565491b,1 TICKET,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-20.png,"1000 winners will claim $1 Site Credit each. Not much, but enough to get you back in the game and ready for the next win. Every little bit counts, do not miss your shot!",11949,6c2ae6fca5807305ce7706d7555604dd,,30
002499697e536245a4d81b1d3cf75fc0,$5 SOLANA,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Learn-More-About-SOL_Blog%20(1).png,"200 Winners! $5 Sol. Turn a small profit, then roll again for free!",10451,50d4bab5c6891d4c7ae39b1f03a20ae7,0x8958eebcdb0bdf96f18c7c81d4f76ffc7e012ede,8
00254459daaecd23a985eb76955317be,2 TICKETS,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-21.png,"1000 winners will score $2 Site Credit each. It is a quick shot to get you back in the action, ready to make your next move. Start small, think big.",99128,043d138d488119377814c159a71ab92b,,29
0026e24dfee538fc26e9f423046f4286,$250 ETH,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-11.png,"Four chances to win $250 ETH. Flip it, stake it, or hodl, just do not miss out on the bag.",34093,6c2ae6fca5807305ce7706d7555604dd,,17
002b79f6fc54707c07312e6d619bdb1c,$250 ETHEREUM,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-11.png,"15 winners, $250 ETH each. Even a small ETH stack can lead to big opportunities, don’t miss out.",6698,50d4bab5c6891d4c7ae39b1f03a20ae7,0x8958eebcdb0bdf96f18c7c81d4f76ffc7e012ede,5
002bf677645e6ef7dbbb4f3a08b6786b,2 TICKETS,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-21.png,"1000 winners will score $2 Site Credit each. It is a quick shot to get you back in the action, ready to make your next move. Start small, think big.",33478,6c2ae6fca5807305ce7706d7555604dd,,29
003e2fea1476947e1a8046650ed10aae,$75 BASE ETH,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/base.jpg,45 winners will claim a cool $75 BASE. Come get it.,12558,50d4bab5c6891d4c7ae39b1f03a20ae7,,7
004450500823c43cb44818724b080286,$200 BTC,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-02.png,"Four winners, $200 BTC each. Even a small Bitcoin stack can lead to big opportunities, do not miss out.",86813,043d138d488119377814c159a71ab92b,,19
004abc9edba31b4c221e7b1030806b1c,1 TICKET,https://theprize-competition-assets.sgp1.cdn.digitaloceanspaces.com/LowRes/Prize_InstantWinImages_EH-20.png,"1000 winners will claim $1 Site Credit each. Not much, but enough to get you back in the game and ready for the next win. Every little bit counts, do not miss your shot!",70004,043d138d488119377814c159a71ab92b,,30
