UID,prize,url,description,winningTicket,competitionId,winningWalletAddress
002499697e536245a4d81b1d3cf75fc0,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-01.png,"200 Winners! $5 Sol. Turn a small profit, then roll again for free!",10451,50d4bab5c6891d4c7ae39b1f03a20ae7,0x8958eebcdb0bdf96f18c7c81d4f76ffc7e012ede
002b79f6fc54707c07312e6d619bdb1c,$250 ETHEREUM,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-02.png,"15 winners, $250 ETH each. Even a small ETH stack can lead to big opportunities, don’t miss out.",6698,50d4bab5c6891d4c7ae39b1f03a20ae7,0x8958eebcdb0bdf96f18c7c81d4f76ffc7e012ede
00bfbc868f00281e6d1a2bc59f8a8e27,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-03.png,"250 Winners! $5 Sol. Turn a small profit, then roll 5 times more for free!",4296,388928a965e7787d2e220ad908d91be6,0x10a0f26f36c7b0cead0b11a4caaf65f6b7b589b8
01158ce4bc2f98ededbf4dd9e744c59c,$250 BITCOIN,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-04.png,"4 prizes, $250 in BTC each. Lets move.",2572,388928a965e7787d2e220ad908d91be6,0xb34604546393deafd1012f52e804a6bd3a9e93be
0161491d83c38e6818c0a9c724cf1dbd,$75 BASE,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-05.png,$75 BASE,24036,cd6eca15efe6c6dbc798059b99bfa061,0x180e5499832f4e862f78a1dc393b2987e046e457
018c46a3092642bcc5171f18c1a08e0d,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-06.png,"250 Winners! $5 Sol. Turn a small profit, then roll 5 times more for free!",2285,388928a965e7787d2e220ad908d91be6,0x10a0f26f36c7b0cead0b11a4caaf65f6b7b589b8
01a052da4f26e7db9b3cb0e14a339f4f,$125 SOL,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-07.png,$125 SOL,2015,76d9b20ec682d69fa6bc76b8716779d3,0x3509799fc1bd8e01d973b9eabf8633bae0873e2b
01fdd5b940bcca468711657597b8ae70,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-08.png,"200 Winners! $5 Sol. Turn a small profit, then roll again for free!",8207,50d4bab5c6891d4c7ae39b1f03a20ae7,0x24be6885eeef032849f6bc6e254dd5a8ac49fc70
024dc9f4cb2331b628dea33051cbd1df,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-09.png,"200 Winners! $5 Sol. Turn a small profit, then roll again for free!",9334,50d4bab5c6891d4c7ae39b1f03a20ae7,0x3509799fc1bd8e01d973b9eabf8633bae0873e2b
029c8c83e0aeb7a6ab56fa43a02faa0e,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-10.png,"250 Winners! $5 Sol. Turn a small profit, then roll 5 times more for free!",5941,388928a965e7787d2e220ad908d91be6,0xc9d0e53ed552514b5a18fb4f34581e275839ea82
031bfd8b736ff7dd08cccac890d986d4,$250 BTC,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-11.png,$250 BTC,5517,cd6eca15efe6c6dbc798059b99bfa061,0x8b35cde854ee1f935942ca405adb2a1b56c4feb4
0320c673005e587ff0b328295151aadb,$125 SOL,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-12.png,$125 SOL,27671,76d9b20ec682d69fa6bc76b8716779d3,0x2dc0628fe7e01d39a29be8af64c7cd3c42f5e44c
0341508aed55ab2f168a2f326967b9e5,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-13.png,"250 Winners! $5 Sol. Turn a small profit, then roll 5 times more for free!",4517,388928a965e7787d2e220ad908d91be6,0xe859cc54e62e707a5798419bd871dee554430539
060d2d712d2838972e50e777ebca69ef,$125 SOL,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-14.png,$125 SOL,15880,76d9b20ec682d69fa6bc76b8716779d3,0xc3dedab1ad8bb498cc4aad9423d5bb27bafb415a
062f9bc921146021a9532ce886305ece,$125 SOL,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-15.png,$125 SOL,8718,76d9b20ec682d69fa6bc76b8716779d3,0xDc9B35cd033c30F253e50C63764cBb7E0DB6eE94
065e6a5da10cf648d4d5e1bb5c071670,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-16.png,"250 Winners! $5 Sol. Turn a small profit, then roll 5 times more for free!",12898,388928a965e7787d2e220ad908d91be6,0x745ca306dc72cf94459d875aab843cde7170f6dd
06ed5a69c8726864ad5975d749d5158b,$5 SOLANA,https://cyxjzycxnfqctxocolwr.supabase.co/storage/v1/object/public/Avatars/777btc_Avatars_EH-17.png,"250 Winners! $5 Sol. Turn a small profit, then roll 5 times more for free!",5563,388928a965e7787d2e220ad908d91be6,0x30b89cb0fe84fa873229e63cb2b28bcca81c4d2b
