schema,function,args,returns,language,kind,volatility,security_definer,leakproof,comment
auth,email,,text,sql,f,s,false,false,Deprecated. Use auth.jwt() -> 'email' instead.
auth,jwt,,jsonb,sql,f,s,false,false,null
auth,role,,text,sql,f,s,false,false,Deprecated. Use auth.jwt() -> 'role' instead.
auth,uid,,uuid,sql,f,s,false,false,Deprecated. Use auth.jwt() -> 'sub' instead.
public,AAA_CHECKTHISFIRST__AAA_balance_ledger,,trigger,plpgsql,f,v,false,false,null
public,_apply_wallet_delta,"p_canonical_user_id text, p_currency text, p_delta numeric","TABLE(balance_before numeric, balance_after numeric)",plpgsql,f,v,false,false,null
public,_audit_bad_winner_writes,,trigger,plpgsql,f,v,true,false,null
public,_bl_guard_reference_id,,trigger,plpgsql,f,v,false,false,null
public,_cdp_first_number_in_braces,input text,numeric,plpgsql,f,v,false,false,null
public,_deduct_sub_account_balance,"_cuid text, _amount numeric",void,plpgsql,f,v,false,false,null
public,_extract_competition_from_metadata,p_metadata jsonb,"TABLE(competition_id uuid, ticket_count integer)",sql,f,s,false,false,null
public,_get_competition_price,p_competition_id uuid,"TABLE(unit_price numeric, currency text)",sql,f,s,false,false,null
public,_get_user_competition_entries_unified,p_user_identifier text,"TABLE(id uuid, competition_id uuid, user_id text, canonical_user_id text, wallet_address text, ticket_numbers integer[], ticket_count integer, amount_paid numeric, currency text, transaction_hash text, payment_provider text, entry_status text, is_winner boolean, prize_claimed boolean, created_at timestamp with time zone, updated_at timestamp with time zone, competition_title text, competition_description text, competition_image_url text, competition_status text, competition_end_date timestamp with time zone, competition_prize_value numeric, competition_is_instant_win boolean)",plpgsql,f,s,true,false,null
public,_insert_pending_items,p_pending_ticket_id uuid,void,plpgsql,f,v,false,false,null
public,_insert_user_spend_tx,"_cuid text, _amount numeric, _competition_id uuid, _order_id uuid, _ticket_id uuid, _payment_provider text, _wallet_address text",uuid,plpgsql,f,v,false,false,null
public,_log_balance_purchase_tx,,trigger,plpgsql,f,v,false,false,null
public,_log_trigger_fire,,trigger,plpgsql,f,v,false,false,null
public,_orders_from_balance_ledger,,trigger,plpgsql,f,v,false,false,null
public,_orders_from_user_transactions,,trigger,plpgsql,f,v,false,false,null
public,_sync_base_account_purchase,,trigger,plpgsql,f,v,false,false,null
public,_sync_entries_if_balance,,trigger,plpgsql,f,v,false,false,null
public,_test_block,p_ticket_count integer,void,plpgsql,f,v,false,false,null
public,_ticket_cuid,"_user_id text, _canonical_user_id text, _wallet_address text",text,sql,f,s,false,false,null
public,_upsert_competition_entry_from_ticket,,trigger,plpgsql,f,v,false,false,null
public,_wallet_delta_from_txn,"tx_type text, amt numeric",numeric,sql,f,i,false,false,null
public,admin_create_promotional_code,"p_code text, p_type text, p_percent_off numeric, p_amount_off numeric, p_free_tickets integer, p_max_redemptions integer, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_is_active boolean, p_featured boolean, p_notes text, p_created_by text",promotional_codes,plpgsql,f,v,false,false,null
public,admin_deactivate_promotional_code,p_id uuid,promotional_codes,plpgsql,f,v,false,false,null
public,admin_update_promotional_code,"p_id uuid, p_code text, p_type text, p_percent_off numeric, p_amount_off numeric, p_free_tickets integer, p_max_redemptions integer, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_is_active boolean, p_featured boolean, p_notes text",promotional_codes,plpgsql,f,v,false,false,null
public,after_cep_change,,trigger,plpgsql,f,v,false,false,null
public,allocate_lucky_dip_tickets,"p_user_canonical_id text, p_competition_id uuid, p_count integer, p_ticket_price numeric, p_hold_minutes integer, p_session_id text",jsonb,plpgsql,f,v,true,false,null
public,allocate_lucky_dip_tickets,"p_user_id text, p_canonical_user_id text, p_amount numeric, p_competition_id uuid, p_description text",jsonb,plpgsql,f,v,false,false,null
public,allocate_lucky_dip_tickets,"p_user_id text, p_competition_id text, p_count integer, p_ticket_price numeric, p_hold_minutes integer, p_session_id text, p_excluded_tickets integer[]",jsonb,plpgsql,f,v,false,false,null
